mode,perturbation_type,severity,clean_success_rate,perturbed_success_rate,success_rate_drop,clean_collision_rate,perturbed_collision_rate,collision_rate_increase,clean_timeout_rate,perturbed_timeout_rate,timeout_rate_increase,clean_path_efficiency,perturbed_path_efficiency,path_efficiency_reduction,clean_min_obstacle_distance_cells,perturbed_min_obstacle_distance_cells,min_obstacle_distance_reduction,clean_total_inference_latency_ms,perturbed_total_inference_latency_ms,inference_latency_change_ms
stereo,image_blur,extreme,0.808,0.824,-0.015999999999999903,0.0,0.104,0.104,0.192,0.072,-0.12000000000000001,0.6408890941831855,0.6527637356669218,-0.011874641483736292,2.7979093017578127,3.01429931640625,-0.2163900146484372,12.255187650534305,12.240615777534448,-0.014571872999857405
stereo,image_blur,high,0.808,0.756,0.052000000000000046,0.0,0.16,0.16,0.192,0.084,-0.108,0.6408890941831855,0.5926440267671049,0.04824506741608059,2.7979093017578127,2.8807864990234373,-0.08287719726562459,12.255187650534305,12.280460225132417,0.025272574598112385
stereo,image_blur,low,0.808,0.832,-0.02399999999999991,0.0,0.08,0.08,0.192,0.088,-0.10400000000000001,0.6408890941831855,0.6425490821119323,-0.0016599879287467756,2.7979093017578127,2.851459228515625,-0.053549926757812116,12.255187650534305,12.282931227810447,0.027743577276142517
stereo,image_blur,medium,0.808,0.836,-0.027999999999999914,0.0,0.08,0.08,0.192,0.084,-0.108,0.6408890941831855,0.6578902368481383,-0.017001142664952784,2.7979093017578127,2.83158349609375,-0.0336741943359371,12.255187650534305,12.277752567161395,0.022564916627089815
stereo,partial_occlusion,extreme,0.808,0.404,0.404,0.0,0.508,0.508,0.192,0.088,-0.10400000000000001,0.6408890941831855,0.3455033536619254,0.2953857405212601,2.7979093017578127,2.3329234619140626,0.4649858398437501,12.255187650534305,12.365898706320426,0.11071105578612084
stereo,partial_occlusion,high,0.808,0.46,0.34800000000000003,0.0,0.42,0.42,0.192,0.12,-0.07200000000000001,0.6408890941831855,0.38608267004399816,0.25480642413918736,2.7979093017578127,2.4427213134765626,0.3551879882812501,12.255187650534305,12.29777846402645,0.04259081349214533
stereo,partial_occlusion,low,0.808,0.648,0.16000000000000003,0.0,0.212,0.212,0.192,0.14,-0.05199999999999999,0.6408890941831855,0.5234627734304277,0.11742632075275783,2.7979093017578127,2.5819215087890623,0.21598779296875037,12.255187650534305,12.286597933941936,0.03141028340763086
stereo,partial_occlusion,medium,0.808,0.524,0.28400000000000003,0.0,0.34,0.34,0.192,0.136,-0.055999999999999994,0.6408890941831855,0.43502920317164284,0.20585989101154267,2.7979093017578127,2.472173095703125,0.32573620605468756,12.255187650534305,12.299431642965757,0.044243992431452384
stereo,reduced_resolution,extreme,0.808,0.792,0.016000000000000014,0.0,0.128,0.128,0.192,0.08,-0.112,0.6408890941831855,0.6273884071130253,0.013500687070160167,2.7979093017578127,3.0215242919921876,-0.22361499023437492,12.255187650534305,12.28184276890856,0.026655118374254272
stereo,reduced_resolution,high,0.808,0.68,0.128,0.0,0.224,0.224,0.192,0.096,-0.096,0.6408890941831855,0.5196362792185248,0.12125281496466067,2.7979093017578127,2.7346722412109377,0.06323706054687506,12.255187650534305,12.276688238869369,0.021500588335063853
stereo,reduced_resolution,low,0.808,0.828,-0.019999999999999907,0.0,0.08,0.08,0.192,0.092,-0.1,0.6408890941831855,0.6587345862302175,-0.017845492047032008,2.7979093017578127,2.8643087158203127,-0.06639941406249994,12.255187650534305,12.301016632866325,0.045828982332020374
stereo,reduced_resolution,medium,0.808,0.836,-0.027999999999999914,0.0,0.08,0.08,0.192,0.084,-0.108,0.6408890941831855,0.6558130681814752,-0.014923973998289708,2.7979093017578127,2.7987830810546876,-0.0008737792968749325,12.255187650534305,12.303493771805218,0.048306121270913494
