hazard_density,hazard_density_seed,episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,step,row,col,event_type,event_value
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,162,26,7,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,163,25,8,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,165,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,166,26,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,167,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,168,25,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,169,26,9,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,170,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,171,26,7,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,172,25,8,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,174,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,175,26,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,176,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,177,25,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,178,26,9,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,179,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,180,26,7,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,181,25,8,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,183,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,184,26,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,185,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,186,25,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,187,26,9,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,188,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,189,26,7,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,190,25,8,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,192,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,193,26,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,194,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,195,25,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,196,26,9,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,197,26,8,shield_intervention,obstacle_risk
