run_id,episode,reward,steps,success,navigation_efficiency,goal_distance,grid_size,max_episode_steps,timestamp_utc
2026-04-03_15-35-09,781,-102.15087680299155,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T20:58:13.451755
2026-04-03_15-35-09,782,-96.73420548916638,200,0,0.01531636424944194,62.289646009589745,50,200,2026-04-03T20:58:16.691299
2026-04-03_15-35-09,783,-102.3548704753477,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T20:58:20.360117
2026-04-03_15-35-09,784,-1115.649700521283,93,0,0.016033335756201635,60.440052945046304,50,200,2026-04-03T20:58:23.471673
2026-04-03_15-35-09,785,-94.75873701416421,200,0,0.015451867499167868,61.71709649683789,50,200,2026-04-03T20:59:17.783923
2026-04-03_15-35-09,786,-158.51068158948794,200,0,0.014840830370231983,64.38167441127949,50,200,2026-04-03T20:59:21.843042
2026-04-03_15-35-09,787,-104.01212211138098,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T20:59:24.972685
2026-04-03_15-35-09,788,-92.76887213669465,200,0,0.01563501554262549,60.959002616512684,50,200,2026-04-03T20:59:28.741065
2026-04-03_15-35-09,789,-96.60773962666688,200,0,0.015006090152632831,63.63961030678928,50,200,2026-04-03T20:59:32.961594
2026-04-03_15-35-09,790,-104.10101435126292,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T20:59:35.892561
2026-04-03_15-35-09,791,-101.34870965278232,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T20:59:39.400893
2026-04-03_15-35-09,792,-105.58064077816704,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T20:59:42.180540
2026-04-03_15-35-09,793,-98.47375132874267,200,0,0.015158808383651329,62.96824596572466,50,200,2026-04-03T20:59:44.820552
2026-04-03_15-35-09,794,-102.64080260739765,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T20:59:47.656311
2026-04-03_15-35-09,795,-1050.1808488853053,1,0,0.015136877362419606,65.05382386916237,50,200,2026-04-03T20:59:49.445258
2026-04-03_15-35-09,796,-549.8944582983412,200,0,0.015144232602744119,63.0317380372777,50,200,2026-04-03T20:59:52.885620
2026-04-03_15-35-09,797,-102.72092463432094,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T20:59:56.565107
2026-04-03_15-35-09,798,-93.86930624755611,200,0,0.015451867499167868,61.71709649683789,50,200,2026-04-03T21:00:00.256508
2026-04-03_15-35-09,799,-103.99753932168079,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T21:00:03.953114
2026-04-03_15-35-09,800,-102.39136084417035,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T21:00:07.187903
2026-04-03_15-35-09,801,-102.6421070080357,200,0,0.014694251449008376,65.05382386916237,50,200,2026-04-03T21:01:01.506791
2026-04-03_15-35-09,802,-104.17602870566394,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:01:04.237417
2026-04-03_15-35-09,803,-97.96902966208404,200,0,0.015144232602744119,63.0317380372777,50,200,2026-04-03T21:01:07.852333
2026-04-03_15-35-09,804,-101.6659801917769,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T21:01:11.657924
2026-04-03_15-35-09,805,-101.81375589269241,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T21:01:15.205769
2026-04-03_15-35-09,806,-96.51529869209259,200,0,0.015297568801352924,62.369864518050704,50,200,2026-04-03T21:01:18.435783
2026-04-03_15-35-09,807,-104.14072130051467,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:01:21.384303
2026-04-03_15-35-09,808,-99.30000405964189,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:01:26.273296
2026-04-03_15-35-09,809,-85.64440014138268,200,0,0.016233676290783778,58.60034129593445,50,200,2026-04-03T21:01:31.015985
2026-04-03_15-35-09,810,-88.87189735970064,200,0,0.015762912443755845,60.440052945046304,50,200,2026-04-03T21:01:35.688091
2026-04-03_15-35-09,811,-92.24468036369791,200,0,0.01582078896403802,60.207972893961475,50,200,2026-04-03T21:01:38.986207
2026-04-03_15-35-09,812,-97.5510121297656,200,0,0.015002553017897154,63.655321851358195,50,200,2026-04-03T21:01:43.160278
2026-04-03_15-35-09,813,-100.81562057295436,200,0,0.014840830370231983,64.38167441127949,50,200,2026-04-03T21:01:46.163652
2026-04-03_15-35-09,814,-100.88088360220344,200,0,0.014840830370231983,64.38167441127949,50,200,2026-04-03T21:01:49.498596
2026-04-03_15-35-09,815,-273.18490489548697,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:01:53.969368
2026-04-03_15-35-09,816,-102.00250564396951,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T21:01:57.755858
2026-04-03_15-35-09,817,-101.10692987282852,200,0,0.014840830370231983,64.38167441127949,50,200,2026-04-03T21:02:52.686572
2026-04-03_15-35-09,818,-1050.860186025824,28,0,0.016645510670824263,58.7962583843564,50,200,2026-04-03T21:02:55.733394
2026-04-03_15-35-09,819,-105.47826042611939,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T21:02:58.911328
2026-04-03_15-35-09,820,-142.70236636870266,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T21:03:01.017085
2026-04-03_15-35-09,821,-101.14105425628277,200,0,0.014847677195736854,64.35060217278468,50,200,2026-04-03T21:03:03.959308
2026-04-03_15-35-09,822,-104.25235895996911,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:03:06.483092
2026-04-03_15-35-09,823,-100.0379673730755,200,0,0.014991956837375139,63.702433234531945,50,200,2026-04-03T21:03:09.353204
2026-04-03_15-35-09,824,-220.43150928421284,200,0,0.015475132526931253,61.61980201201558,50,200,2026-04-03T21:03:12.988907
2026-04-03_15-35-09,825,-104.1841962157273,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:03:15.543062
2026-04-03_15-35-09,826,-98.11921476333892,200,0,0.015144232602744119,63.0317380372777,50,200,2026-04-03T21:03:18.708146
2026-04-03_15-35-09,827,-105.58949907465792,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T21:03:21.937734
2026-04-03_15-35-09,828,-105.62816736979266,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T21:03:24.491683
2026-04-03_15-35-09,829,-1050.2604330070094,1,0,0.015136877362419606,65.05382386916237,50,200,2026-04-03T21:03:26.267420
2026-04-03_15-35-09,830,-101.4615447497724,200,0,0.014847677195736854,64.35060217278468,50,200,2026-04-03T21:03:29.370928
2026-04-03_15-35-09,831,-99.8892713084059,200,0,0.015006090152632831,63.63961030678928,50,200,2026-04-03T21:03:32.369678
2026-04-03_15-35-09,832,-105.66224881309067,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T21:03:34.887266
2026-04-03_15-35-09,833,-95.48490717456843,200,0,0.015451867499167868,61.71709649683789,50,200,2026-04-03T21:04:26.911437
2026-04-03_15-35-09,834,-105.40644486767258,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T21:04:30.380527
2026-04-03_15-35-09,835,-104.05688651222945,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:04:33.379020
2026-04-03_15-35-09,836,-104.09649323891473,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:04:36.660680
2026-04-03_15-35-09,837,-104.2551391114194,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:04:39.196641
2026-04-03_15-35-09,838,-101.4802202161817,200,0,0.014840830370231983,64.38167441127949,50,200,2026-04-03T21:04:41.659268
2026-04-03_15-35-09,839,-102.75680056431001,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T21:04:44.462410
2026-04-03_15-35-09,840,-102.85928671717589,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T21:04:46.936996
2026-04-03_15-35-09,841,-101.47339210666698,200,0,0.014840830370231983,64.38167441127949,50,200,2026-04-03T21:04:49.431999
2026-04-03_15-35-09,842,-103.84231697788965,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:04:52.468942
2026-04-03_15-35-09,843,-104.21125990618341,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:04:55.118704
2026-04-03_15-35-09,844,-102.83631604396334,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T21:04:57.470922
2026-04-03_15-35-09,845,-105.54523457032559,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T21:05:00.126468
2026-04-03_15-35-09,846,-101.4530629937505,200,0,0.014847677195736854,64.35060217278468,50,200,2026-04-03T21:05:02.247444
2026-04-03_15-35-09,847,-105.60656996561168,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T21:05:04.842018
2026-04-03_15-35-09,848,-101.37026947214717,200,0,0.014847677195736854,64.35060217278468,50,200,2026-04-03T21:05:07.530014
2026-04-03_15-35-09,849,-108.32528136373737,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T21:06:03.126979
2026-04-03_15-35-09,850,-1078.7707158705505,65,0,0.01548311757077119,62.93647591023825,50,200,2026-04-03T21:06:05.764834
2026-04-03_15-35-09,851,-138.96886217481966,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T21:06:08.749990
2026-04-03_15-35-09,852,-101.39851516073982,200,0,0.014840830370231983,64.38167441127949,50,200,2026-04-03T21:06:11.166534
2026-04-03_15-35-09,853,-104.09544434411758,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:06:14.085544
2026-04-03_15-35-09,854,-105.14332082076886,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T21:06:17.554835
2026-04-03_15-35-09,855,-103.55379037671455,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:06:21.261814
2026-04-03_15-35-09,856,-96.72400198649305,200,0,0.01531636424944194,62.289646009589745,50,200,2026-04-03T21:06:24.653577
2026-04-03_15-35-09,857,-105.58590884791037,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T21:06:27.468723
2026-04-03_15-35-09,858,-99.89474024419694,200,0,0.015002553017897154,63.655321851358195,50,200,2026-04-03T21:06:30.173809
2026-04-03_15-35-09,859,-1171.9379598158146,191,0,0.015022837300073779,63.655321851358195,50,200,2026-04-03T21:06:32.143356
2026-04-03_15-35-09,860,-100.79564089258959,200,0,0.014847677195736854,64.35060217278468,50,200,2026-04-03T21:06:35.661930
2026-04-03_15-35-09,861,-104.20667502607625,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T21:06:38.105353
2026-04-03_15-35-09,862,-99.73609618392707,200,0,0.014991956837375139,63.702433234531945,50,200,2026-04-03T21:06:41.596631
2026-04-03_15-35-09,863,-101.47872369059984,200,0,0.014840830370231983,64.38167441127949,50,200,2026-04-03T21:06:44.179650
2026-04-03_15-35-09,864,-105.6572233092151,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T21:06:46.648682
